source,stop_code,stop_id_normalized,stop_name_normalized,stop_name_corrected
nwtb,3000,CD910,MACKENZIE KING 2A,"MACKENZIE KING"
octranspo-legacy-gtfs,3000,CD910,MACKENZIE KING 2A,"MACKENZIE KING"
nwtb,3009,CD945,RIDEAU A,"RIDEAU"
octranspo-legacy-gtfs,3009,CD945,RIDEAU A,"RIDEAU"
nwtb,3010,CJ990,PIMISI O-TRAIN WEST / OUEST,"PIMISI"
octranspo-legacy-gtfs,3010,CJ990,PIMISI O-TRAIN WEST / OUEST,"PIMISI"
nwtb,3011,NA951,TUNNEY'S PASTURE E,"TUNNEY'S PASTURE"
octranspo-legacy-gtfs,3011,NA941,TUNNEY'S PASTURE D,"TUNNEY'S PASTURE"
nwtb,3012,NC950,WESTBORO A,"WESTBORO"
octranspo-legacy-gtfs,3012,NC950,WESTBORO A,"WESTBORO"
nwtb,3013,NH900,DOMINION 1A (A),"DOMINION"
octranspo-legacy-gtfs,3013,NH900,DOMINION 1A (A),"DOMINION"
nwtb,3014,NI936,LINCOLN FIELDS 3B (E),"LINCOLN FIELDS"
octranspo-legacy-gtfs,3014,NI936,LINCOLN FIELDS 3B (E),"LINCOLN FIELDS"
nwtb,3015,SJ930,QUEENSWAY 2A (B),"QUEENSWAY"
octranspo-legacy-gtfs,3015,SJ930,QUEENSWAY 2A (B),"QUEENSWAY"
nwtb,3016,SJ970,IRIS 2A (B),"IRIS"
octranspo-legacy-gtfs,3016,SJ960,IRIS 1A (A),"IRIS"
nwtb,3017,SH930,BASELINE 2A (E),"BASELINE"
octranspo-legacy-gtfs,3017,SH935,BASELINE 2B (F),"BASELINE"
nwtb,3018,WH970,TERON 1A (A),"TERON"
octranspo-legacy-gtfs,3018,WH970,TERON 1A (A),"TERON"
octranspo-legacy-gtfs,3018,WH980,TERON 2A (B),"TERON"
nwtb,3019,WC910,PINECREST B,"PINECREST"
octranspo-legacy-gtfs,3019,WC910,PINECREST B,"PINECREST"
nwtb,3021,CD998,UOTTAWA O-TRAIN WEST / OUEST,"UOTTAWA"
octranspo-legacy-gtfs,3021,CD998,UOTTAWA O-TRAIN WEST / OUEST,"UOTTAWA"
nwtb,3022,CE950,LEES A,"LEES"
octranspo-legacy-gtfs,3022,CE995,LEES O-TRAIN EAST / EST,"LEES"
nwtb,3023,AF920,HURDMAN B,"HURDMAN"
octranspo-legacy-gtfs,3023,AF920,HURDMAN B,"HURDMAN"
nwtb,3024,AE990,TREMBLAY O-TRAIN WEST / OUEST,"TREMBLAY VIA-RAIL"
octranspo-legacy-gtfs,3024,AE995,TREMBLAY O-TRAIN EAST / EST,"TREMBLAY VIA-RAIL"
nwtb,3025,EB930,ST-LAURENT C,"ST-LAURENT"
octranspo-legacy-gtfs,3025,EB930,ST-LAURENT C,"ST-LAURENT"
nwtb,3026,EC995,CYRVILLE O-TRAIN EAST / EST,"CYRVILLE"
octranspo-legacy-gtfs,3026,EC995,CYRVILLE O-TRAIN EAST / EST,"CYRVILLE"
